iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000389,"[[1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 1.0]]","[4092, 1663]",0.028411,0.028800,0.800000
1,0.013236,"[[0.0, 0.0, 1.0, 0.0]]",[446],0.026399,0.039635,0.727273
2,0.013660,"[[0.0, 0.0, 1.0, 0.0]]",[3528],0.027083,0.040743,0.956522
3,0.014380,"[[0.0, 0.0, 0.0, 0.0]]",[3330],0.029279,0.043659,0.750000
4,0.014304,"[[0.0, 0.0, 0.0, 0.0]]",[5401],0.030296,0.044600,0.800000
5,0.014608,"[[0.0, 0.0, 1.0, 0.0]]",[4295],0.029915,0.044523,0.909091
6,0.014216,"[[1.0, 0.0, 0.0, 0.0]]",[2020],0.034148,0.048364,0.960000
7,0.015492,"[[1.0, 0.0, 1.0, 0.0]]",[2623],0.031225,0.046716,0.960000
8,0.015041,"[[0.0, 0.0, 0.0, 1.0]]",[4739],0.040156,0.055197,0.960000
9,0.014941,"[[0.0, 0.0, 1.0, 0.0]]",[3392],0.040732,0.055673,0.960000
10,0.015333,"[[0.0, 0.0, 0.0, 1.0]]",[2047],0.035521,0.050854,0.960000
11,0.015028,"[[0.0, 1.0, 0.0, 1.0]]",[4738],0.036866,0.051894,1.000000
12,0.016959,"[[0.0, 0.0, 0.0, 1.0]]",[831],0.039065,0.056024,1.000000
13,0.015050,"[[1.0, 0.0, 1.0, 0.0]]",[5293],0.040548,0.055598,1.000000
14,0.015974,"[[0.0, 0.0, 1.0, 0.0]]",[3747],0.041914,0.057888,1.000000
15,0.017989,"[[0.0, 0.0, 0.0, 1.0]]",[1617],0.044328,0.062318,1.000000
16,0.015664,"[[0.0, 1.0, 0.0, 1.0]]",[1819],0.052461,0.068125,1.000000
17,0.015523,"[[0.0, 1.0, 0.0, 1.0]]",[1780],0.052482,0.068005,1.000000
18,0.015614,"[[1.0, 0.0, 0.0, 1.0]]",[5122],0.053554,0.069168,1.000000
19,0.021928,"[[0.0, 1.0, 0.0, 1.0]]",[1701],0.065351,0.087279,1.000000
20,0.015877,"[[0.0, 0.0, 0.0, 1.0]]",[4469],0.061926,0.077803,1.000000
21,0.016978,"[[0.0, 1.0, 1.0, 1.0]]",[4247],0.069539,0.086517,1.000000
22,0.016266,"[[0.0, 1.0, 0.0, 1.0]]",[4438],0.070240,0.086506,1.000000
23,0.016131,"[[0.0, 0.0, 1.0, 0.0]]",[602],0.082521,0.098652,1.000000
24,0.017169,"[[0.0, 0.0, 0.0, 0.0]]",[2369],0.078853,0.096022,1.000000
25,0.016465,"[[0.0, 1.0, 0.0, 1.0]]",[3824],0.078693,0.095159,1.000000
26,0.016180,"[[0.0, 0.0, 0.0, 0.0]]",[4157],0.086215,0.102395,1.000000
27,0.020902,"[[0.0, 1.0, 0.0, 1.0]]",[3822],0.090742,0.111644,1.000000
28,0.016694,"[[0.0, 0.0, 0.0, 1.0]]",[2070],0.107407,0.124101,1.000000
29,0.016590,"[[0.0, 0.0, 0.0, 1.0]]",[4209],0.104049,0.120639,1.000000
30,0.019668,"[[0.0, 0.0, 0.0, 0.0]]",[3321],0.115481,0.135149,1.000000
31,0.017315,"[[1.0, 0.0, 0.0, 1.0]]",[2209],0.117829,0.135145,1.000000
32,0.017621,"[[1.0, 0.0, 0.0, 0.0]]",[1262],0.122076,0.139697,1.000000
33,0.023749,"[[0.0, 0.0, 0.0, 0.0]]",[3052],0.124628,0.148376,1.000000
34,0.017772,"[[0.0, 0.0, 1.0, 0.0]]",[3738],0.129103,0.146874,1.000000
35,0.017421,"[[0.0, 0.0, 1.0, 0.0]]",[4758],0.139843,0.157264,1.000000
36,0.017668,"[[0.0, 0.0, 0.0, 0.0]]",[3322],0.144075,0.161742,1.000000
37,0.017838,"[[0.0, 1.0, 0.0, 1.0]]",[4727],0.134836,0.152673,1.000000
38,0.022375,"[[0.0, 0.0, 1.0, 0.0]]",[5534],0.152655,0.175030,1.000000
39,0.017920,"[[0.0, 0.0, 0.0, 0.0]]",[1938],0.147748,0.165668,1.000000
40,0.018164,"[[0.0, 0.0, 0.0, 1.0]]",[1156],0.162283,0.180447,1.000000
41,0.018407,"[[0.0, 0.0, 1.0, 0.0]]",[4766],0.155392,0.173799,1.000000
42,0.018359,"[[0.0, 0.0, 1.0, 0.0]]",[4349],0.172752,0.191110,1.000000
43,0.021237,"[[0.0, 0.0, 1.0, 0.0]]",[2986],0.171448,0.192685,1.000000
44,0.018848,"[[0.0, 0.0, 0.0, 0.0]]",[884],0.174808,0.193655,1.000000
45,0.018343,"[[0.0, 0.0, 0.0, 0.0]]",[5101],0.175973,0.194316,1.000000
46,0.019287,"[[0.0, 0.0, 1.0, 0.0]]",[3663],0.197228,0.216515,1.000000
47,0.018961,"[[0.0, 0.0, 0.0, 0.0]]",[3328],0.202341,0.221302,1.000000
48,0.021962,"[[0.0, 0.0, 0.0, 0.0]]",[3169],0.196408,0.218370,1.000000
49,0.019548,"[[0.0, 0.0, 0.0, 1.0]]",[4578],0.188922,0.208469,1.000000
50,0.019115,"[[0.0, 0.0, 1.0, 0.0]]",[4366],0.202948,0.222063,1.000000
51,0.018968,"[[0.0, 0.0, 1.0, 0.0]]",[263],0.211734,0.230703,1.000000
52,0.019751,"[[0.0, 0.0, 1.0, 0.0]]",[4313],0.218995,0.238745,1.000000
53,0.019202,"[[1.0, 0.0, 0.0, 0.0]]",[5454],0.214251,0.233453,1.000000
54,0.019560,"[[0.0, 0.0, 1.0, 0.0]]",[4397],0.227523,0.247083,1.000000
55,0.022454,"[[0.0, 0.0, 1.0, 0.0]]",[264],0.244939,0.267393,1.000000
56,0.019573,"[[0.0, 0.0, 1.0, 0.0]]",[295],0.234679,0.254252,1.000000
57,0.019035,"[[1.0, 0.0, 0.0, 1.0]]",[839],0.236954,0.255989,1.000000
58,0.019340,"[[1.0, 0.0, 0.0, 0.0]]",[5392],0.248883,0.268223,1.000000
59,0.019279,"[[0.0, 1.0, 0.0, 1.0]]",[1870],0.257454,0.276733,1.000000
