iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000450,"[1.0, 0.0]","[4096, 3847]",0.000391,0.000841,0.004617
1,0.011273,[0.0],[322],0.000397,0.011670,0.007473
2,0.012380,[0.0],[5070],0.000680,0.013060,0.048872
3,0.015187,[0.0],[1764],0.000591,0.015778,0.490566
4,0.017630,[0.0],[2071],0.000474,0.018103,0.490566
5,0.020155,[0.0],[4730],0.000407,0.020562,0.490566
6,0.023486,[0.0],[2037],0.000460,0.023945,0.490566
7,0.026456,[0.0],[2398],0.000561,0.027017,0.490566
8,0.029062,[0.0],[945],0.000435,0.029498,0.490566
9,0.030031,[0.0],[2166],0.000453,0.030483,0.490566
10,0.034250,[0.0],[4440],0.000530,0.034780,0.490566
11,0.035779,[0.0],[4130],0.000653,0.036432,0.490566
12,0.039661,[0.0],[2156],0.000529,0.040190,0.490566
13,0.041945,[0.0],[935],0.000519,0.042465,0.490566
14,0.041946,[0.0],[3822],0.000554,0.042500,0.490566
15,0.042370,[0.0],[4271],0.000556,0.042925,0.490566
16,0.046148,[0.0],[121],0.000586,0.046733,0.490566
17,0.046993,[0.0],[2475],0.000598,0.047590,0.490566
18,0.049711,[0.0],[3001],0.000644,0.050355,0.490566
19,0.052788,[0.0],[5116],0.000718,0.053506,0.490566
20,0.055499,[0.0],[5177],0.000669,0.056168,0.490566
21,0.057221,[0.0],[2918],0.000673,0.057894,0.490566
22,0.060018,[0.0],[2932],0.000734,0.060752,0.490566
23,0.062550,[0.0],[1991],0.000730,0.063280,0.490566
24,0.064399,[0.0],[1007],0.000771,0.065170,0.490566
25,0.071382,[0.0],[2570],0.001378,0.072760,0.490566
26,0.073833,[0.0],[4548],0.001185,0.075018,0.490566
27,0.076936,[0.0],[1561],0.000903,0.077839,0.490566
28,0.079481,[0.0],[1618],0.000920,0.080401,0.490566
29,0.081545,[0.0],[5451],0.001005,0.082550,0.490566
30,0.082377,[0.0],[4642],0.000985,0.083362,0.490566
31,0.083471,[0.0],[4070],0.000954,0.084425,0.490566
32,0.086803,[0.0],[3043],0.001365,0.088168,0.490566
33,0.088527,[0.0],[414],0.001588,0.090115,0.490566
34,0.090088,[0.0],[3975],0.002668,0.092757,0.490566
35,0.092549,[0.0],[3271],0.001404,0.093953,0.490566
36,0.097205,[0.0],[3565],0.001492,0.098696,0.490566
37,0.101615,[0.0],[852],0.001435,0.103050,0.490566
38,0.107582,[0.0],[3072],0.001447,0.109029,0.490566
39,0.111222,[0.0],[5422],0.003645,0.114867,0.490566
40,0.108673,[0.0],[2193],0.002195,0.110868,0.490566
41,0.113359,[0.0],[3666],0.001376,0.114735,0.490566
42,0.115505,[0.0],[3729],0.001767,0.117272,0.490566
43,0.116988,[0.0],[3155],0.001423,0.118411,0.490566
44,0.120275,[0.0],[2773],0.001532,0.121806,0.490566
45,0.123634,[0.0],[3936],0.001962,0.125596,0.490566
46,0.127966,[0.0],[12],0.001640,0.129606,0.490566
47,0.130231,[0.0],[5308],0.001682,0.131913,0.490566
48,0.132284,[0.0],[827],0.001834,0.134118,0.490566
49,0.134077,[0.0],[693],0.002871,0.136948,0.490566
50,0.136251,[0.0],[4222],0.001983,0.138233,0.490566
51,0.143279,[0.0],[4978],0.002510,0.145789,0.490566
52,0.144496,[0.0],[2135],0.002025,0.146521,0.490566
53,0.147154,[0.0],[5354],0.002128,0.149281,0.490566
54,0.135979,[0.0],[1144],0.002182,0.138161,0.490566
55,0.142185,[0.0],[5083],0.002221,0.144407,0.490566
56,0.146767,[0.0],[2268],0.004394,0.151160,0.490566
57,0.144552,[0.0],[4129],0.000784,0.145336,0.634146
58,0.032553,[0.0],[4109],0.000825,0.033377,0.896552
59,0.032434,[0.0],[4124],0.000798,0.033233,0.000000
