iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore,tsm
0,0.000400,"[[1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 1.0, 0.0]]","[3251, 5125]",0.075599,0.075999,0.049673,0.000000
1,0.003029,"[[1.0, 0.0, 1.0, 0.0]]",[37],0.010086,0.013114,0.294574,0.000000
2,0.004417,"[[1.0, 1.0, 1.0, 0.0]]",[3214],0.003427,0.007844,0.711111,0.043478
3,0.010145,"[[0.0, 1.0, 1.0, 1.0]]",[3306],0.003326,0.013470,0.780488,0.098214
4,0.005539,"[[0.0, 1.0, 0.0, 1.0]]",[3299],0.001355,0.006894,0.914286,0.106796
5,0.003858,"[[1.0, 1.0, 1.0, 1.0]]",[3879],0.001419,0.005277,0.914286,0.155340
6,0.000508,"[[1.0, 1.0, 1.0, 1.0]]",[3881],0.001632,0.002140,1.000000,0.184466
7,0.000572,"[[1.0, 1.0, 1.0, 0.0]]",[3239],0.001774,0.002346,1.000000,0.475000
8,0.000475,"[[1.0, 1.0, 1.0, 0.0]]",[3200],0.000949,0.001424,1.000000,0.826087
9,0.000505,"[[0.0, 1.0, 1.0, 0.0]]",[3244],0.000726,0.001230,1.000000,1.000000
10,0.005702,"[[0.0, 0.0, 1.0, 1.0]]",[1239],0.000724,0.006426,1.000000,1.000000
11,0.006206,"[[1.0, 1.0, 1.0, 0.0]]",[3864],0.000874,0.007081,1.000000,1.000000
12,0.005359,"[[1.0, 0.0, 1.0, 1.0]]",[1267],0.000839,0.006198,1.000000,1.000000
13,0.005888,"[[1.0, 1.0, 1.0, 0.0]]",[3873],0.000867,0.006755,1.000000,1.000000
14,0.006087,"[[0.0, 1.0, 1.0, 0.0]]",[3909],0.000928,0.007016,1.000000,1.000000
15,0.006318,"[[0.0, 1.0, 1.0, 0.0]]",[3902],0.000814,0.007133,1.000000,1.000000
16,0.007151,"[[0.0, 1.0, 1.0, 0.0]]",[3271],0.000976,0.008127,1.000000,1.000000
17,0.006877,"[[0.0, 1.0, 1.0, 1.0]]",[3305],0.001028,0.007905,1.000000,1.000000
18,0.006191,"[[1.0, 1.0, 0.0, 1.0]]",[3248],0.000959,0.007151,1.000000,1.000000
19,0.005457,"[[0.0, 1.0, 1.0, 1.0]]",[3300],0.000806,0.006263,1.000000,1.000000
20,0.005410,"[[1.0, 1.0, 1.0, 0.0]]",[2662],0.000968,0.006378,1.000000,1.000000
21,0.005733,"[[1.0, 0.0, 1.0, 1.0]]",[1882],0.000922,0.006655,1.000000,1.000000
22,0.005834,"[[1.0, 1.0, 1.0, 1.0]]",[3878],0.000998,0.006832,1.000000,1.000000
23,0.005651,"[[1.0, 1.0, 1.0, 0.0]]",[3240],0.000965,0.006617,1.000000,1.000000
24,0.006078,"[[1.0, 1.0, 1.0, 0.0]]",[3871],0.001002,0.007080,1.000000,1.000000
25,0.005806,"[[1.0, 1.0, 1.0, 0.0]]",[3872],0.000986,0.006791,1.000000,1.000000
26,0.007280,"[[1.0, 1.0, 1.0, 1.0]]",[3258],0.001024,0.008304,1.000000,1.000000
27,0.006428,"[[1.0, 1.0, 1.0, 1.0]]",[3256],0.001059,0.007487,1.000000,1.000000
28,0.005995,"[[1.0, 1.0, 1.0, 1.0]]",[3249],0.000972,0.006968,1.000000,1.000000
29,0.005980,"[[1.0, 1.0, 1.0, 1.0]]",[3260],0.001049,0.007029,1.000000,1.000000
30,0.005942,"[[1.0, 1.0, 1.0, 1.0]]",[3254],0.000974,0.006916,1.000000,1.000000
31,0.006000,"[[1.0, 1.0, 1.0, 1.0]]",[3253],0.001006,0.007005,1.000000,1.000000
32,0.006545,"[[1.0, 1.0, 1.0, 1.0]]",[3250],0.001740,0.008285,1.000000,1.000000
33,0.005538,"[[1.0, 1.0, 1.0, 1.0]]",[3257],0.000981,0.006518,1.000000,1.000000
34,0.005699,"[[1.0, 1.0, 1.0, 1.0]]",[3259],0.000987,0.006686,1.000000,1.000000
35,0.005687,"[[1.0, 1.0, 1.0, 1.0]]",[3252],0.001007,0.006695,1.000000,1.000000
36,0.005574,"[[1.0, 1.0, 1.0, 0.0]]",[3212],0.000981,0.006555,1.000000,1.000000
37,0.006207,"[[0.0, 1.0, 1.0, 1.0]]",[3301],0.001026,0.007232,1.000000,1.000000
38,0.005747,"[[1.0, 1.0, 1.0, 1.0]]",[3876],0.001017,0.006764,1.000000,1.000000
39,0.005505,"[[1.0, 1.0, 0.0, 1.0]]",[3255],0.000979,0.006483,1.000000,1.000000
40,0.005862,"[[1.0, 1.0, 1.0, 0.0]]",[3866],0.001024,0.006885,1.000000,1.000000
41,0.005420,"[[1.0, 0.0, 1.0, 1.0]]",[1257],0.000938,0.006357,1.000000,1.000000
42,0.008382,"[[1.0, 1.0, 1.0, 0.0]]",[3867],0.001791,0.010173,1.000000,1.000000
43,0.005778,"[[1.0, 0.0, 1.0, 1.0]]",[1265],0.001113,0.006891,1.000000,1.000000
44,0.005827,"[[1.0, 1.0, 1.0, 0.0]]",[3865],0.001073,0.006900,1.000000,1.000000
45,0.005499,"[[1.0, 0.0, 1.0, 1.0]]",[1259],0.000949,0.006448,1.000000,1.000000
46,0.005739,"[[1.0, 1.0, 1.0, 0.0]]",[3868],0.001065,0.006805,1.000000,1.000000
47,0.005484,"[[1.0, 0.0, 1.0, 1.0]]",[1263],0.000969,0.006453,1.000000,1.000000
48,0.005495,"[[1.0, 0.0, 1.0, 1.0]]",[1261],0.001048,0.006543,1.000000,1.000000
49,0.005517,"[[1.0, 1.0, 1.0, 0.0]]",[2659],0.001078,0.006595,1.000000,1.000000
50,0.005516,"[[1.0, 1.0, 1.0, 1.0]]",[3880],0.001096,0.006612,1.000000,1.000000
51,0.005676,"[[1.0, 1.0, 1.0, 1.0]]",[3877],0.001139,0.006815,1.000000,1.000000
52,0.005876,"[[0.0, 1.0, 1.0, 1.0]]",[3302],0.001028,0.006905,1.000000,1.000000
53,0.006194,"[[1.0, 0.0, 1.0, 1.0]]",[1881],0.001529,0.007723,1.000000,1.000000
54,0.005980,"[[1.0, 0.0, 1.0, 1.0]]",[1888],0.001133,0.007114,1.000000,1.000000
55,0.005803,"[[1.0, 0.0, 1.0, 1.0]]",[1889],0.001034,0.006837,1.000000,1.000000
