iter,get_next_time,labels,labeled_indexes,fit_time,iter_time,fscore
0,0.000369,"[1.0, 0.0]","[2714, 1675]",0.154463,0.154832,0.066235
1,0.001552,[0.0],[789],0.151226,0.152778,0.605263
2,0.001492,[0.0],[5483],0.171053,0.172545,0.686869
3,0.001589,[0.0],[2089],0.161149,0.162738,0.715789
4,0.001735,[0.0],[3742],0.164512,0.166247,0.715789
5,0.001858,[1.0],[635],0.163467,0.165325,0.666667
6,0.003401,[0.0],[3465],0.168092,0.171493,0.686567
7,0.001999,[0.0],[3463],0.175740,0.177739,0.718750
8,0.001845,[0.0],[3502],0.171080,0.172925,0.754098
9,0.003632,[0.0],[3513],0.170049,0.173682,0.786325
10,0.002082,[0.0],[3510],0.169125,0.171207,0.844037
11,0.002250,[0.0],[3499],0.171301,0.173551,0.826923
12,0.002003,[1.0],[637],0.175154,0.177156,0.844037
13,0.004973,[0.0],[638],0.201804,0.206776,0.851852
14,0.002831,[0.0],[631],0.190702,0.193533,0.859813
15,0.001989,[0.0],[321],0.196025,0.198014,0.859813
16,0.002034,[0.0],[2648],0.195492,0.197526,0.859813
17,0.002042,[0.0],[3216],0.209645,0.211686,0.859813
18,0.004801,[0.0],[4311],0.198873,0.203674,0.859813
19,0.002992,[0.0],[2631],0.214475,0.217467,0.989011
20,0.002680,[1.0],[3242],0.224983,0.227664,0.929293
21,0.003080,[0.0],[3238],0.240203,0.243283,1.000000
22,0.003607,[0.0],[2628],0.240662,0.244270,1.000000
23,0.002562,[1.0],[3240],0.257514,0.260076,1.000000
24,0.003420,[0.0],[2698],0.249991,0.253411,1.000000
25,0.003018,[0.0],[3991],0.271820,0.274839,1.000000
26,0.002612,[0.0],[974],0.250774,0.253386,1.000000
27,0.002470,[0.0],[1006],0.255799,0.258269,1.000000
28,0.004126,[0.0],[3811],0.261418,0.265544,1.000000
29,0.003997,[0.0],[4695],0.270453,0.274450,1.000000
30,0.003076,[0.0],[5273],0.275206,0.278282,1.000000
31,0.003302,[0.0],[107],0.276896,0.280199,1.000000
32,0.007644,[0.0],[689],0.337023,0.344667,1.000000
33,0.002902,[0.0],[1744],0.316123,0.319025,1.000000
34,0.002768,[0.0],[3322],0.318944,0.321711,1.000000
35,0.004337,[0.0],[4909],0.340240,0.344578,1.000000
36,0.003283,[0.0],[2770],0.332252,0.335535,1.000000
37,0.003061,[0.0],[1605],0.332614,0.335676,1.000000
38,0.011046,[0.0],[4313],0.359986,0.371032,1.000000
39,0.004175,[0.0],[612],0.351912,0.356087,1.000000
40,0.003192,[0.0],[3157],0.378164,0.381356,1.000000
41,0.003057,[0.0],[2228],0.383890,0.386947,1.000000
42,0.003382,[0.0],[2800],0.369306,0.372688,1.000000
43,0.003432,[0.0],[968],0.425785,0.429217,1.000000
44,0.004897,[0.0],[1868],0.421179,0.426076,1.000000
45,0.004860,[0.0],[1967],0.451471,0.456331,1.000000
46,0.004640,[0.0],[1032],0.444734,0.449374,1.000000
47,0.005413,[0.0],[4931],0.469142,0.474555,1.000000
48,0.005676,[0.0],[1050],0.427883,0.433560,1.000000
49,0.003473,[0.0],[4231],0.384720,0.388193,1.000000
50,0.004759,[0.0],[3571],0.454736,0.459495,1.000000
51,0.003782,[0.0],[5047],0.428395,0.432178,1.000000
52,0.004150,[0.0],[3313],0.428143,0.432293,1.000000
53,0.003850,[0.0],[5360],0.423538,0.427388,1.000000
54,0.003626,[0.0],[753],0.486215,0.489840,1.000000
55,0.005054,[0.0],[2640],0.638183,0.643237,1.000000
56,0.003885,[0.0],[1830],0.550832,0.554717,1.000000
57,0.005178,[0.0],[2917],0.514601,0.519779,1.000000
58,0.004880,[0.0],[3280],0.558042,0.562922,1.000000
59,0.005094,[0.0],[3595],0.546477,0.551571,1.000000
